Date	novalue	somevalue	quantity	time	globecoordinate	string	itemlink
2013-02-04	0	0	0	0	0	0	0
2013-02-15	0	0	0	0	0	0	32
2013-02-28	0	0	0	0	0	0	46
2013-03-16	0	0	0	0	0	1	62
2013-03-30	0	0	0	0	0	41	88
2013-04-17	0	0	0	0	0	84486	50454
2013-05-05	0	0	0	0	0	177658	70414
2013-05-14	0	0	0	0	0	269998	101801
2013-05-27	2	1	0	0	0	400500	130789
2013-06-10	2	1	0	27134	0	447867	279008
2013-06-23	2	1	0	38463	2	540285	463864
2013-07-10	2	1	0	41976	5	570271	589995
2013-07-27	2	1	0	42182	2363	581188	624493
2013-08-05	2	1	0	42264	3115	650292	647202
2013-08-17	2	1	0	42572	3159	670856	653030
2013-08-27	4	1	0	48632	3343	673918	664865
2013-09-10	7	18	0	48816	3530	720221	687004
2013-09-22	7	18	0	49243	3761	762386	726799
2013-10-06	7	18	0	49392	3778	794450	769475
2013-10-21	17	18	0	50721	3784	798866	796221
2013-11-05	21	56	0	50824	3789	875644	920268
2013-11-20	21	59	0	50933	3788	891220	934686
2013-12-05	22	60	0	51081	3851	921374	960180
2013-12-21	23	60	0	51185	3889	1487371	989818
2014-01-06	23	60	0	51269	3903	1661896	984879
2014-01-23	23	60	0	51444	3907	2163178	1005726
2014-02-10	26	60	0	52502	3983	2351255	1006964
2014-02-26	26	60	17832	54019	4071	2648859	1146310
2014-03-15	26	61	34741	54206	4111	2845935	1128456
2014-03-31	28	61	35019	62819	4123	2955292	1213591
2014-04-20	28	60	36924	81560	15567	3124381	1353738
2014-05-08	37	60	37999	164665	15589	3237530	1487022
2014-05-26	37	62	38374	203263	15608	3272734	1501501
2014-06-12	38	63	38469	203320	15629	3278583	1495752
2014-07-05	34	63	39164	203458	15668	3355128	1498783
2014-07-31	34	63	45331	203575	15781	3464468	1499122
2014-08-04	34	60	45372	203590	15784	3464814	1498983
2014-08-23	29	13	110470	204347	45778	3468181	1560385
2014-09-15	29	41	150123	204660	104819	3512170	1710662
2014-09-29	30	47	165971	205775	104826	3762051	1766051
2014-10-13	30	51	166175	206359	104859	3842444	1779105
2014-10-27	31	52	166199	206550	104890	4191222	1923871
2014-11-10	31	53	166222	211428	104913	5027961	1955632
2014-11-24	31	54	166272	212132	104931	5152936	1931221
2014-12-10	31	53	166369	212572	104941	5320809	1928521
2014-12-22	31	56	166400	213829	104955	5539787	1984984
2015-01-05	30	56	166421	215241	104974	5670360	2049953
2015-01-20	30	63	166449	212639	104988	5682743	2116879
2015-02-02	29	69	166461	213401	111207	5678967	2115769
2015-02-16	29	75	166486	227863	111216	5845157	2227559
2015-03-02	29	79	168691	228550	111219	5971079	2277966
2015-03-16	32	84	169076	235996	111234	6133668	2420457
2015-03-30	33	84	169227	237207	111247	6188888	2441778
2015-04-13	38	84	169256	243245	111254	6189833	2497262
2015-04-27	51	85	170201	244046	111264	6199270	2505748
2015-05-11	55	86	170251	245935	111272	6468995	2525816
2015-05-25	59	85	170375	246251	111281	7577560	2552130
2015-06-08	60	89	180417	246482	111288	8112461	2562230
2015-06-22	66	97	185587	247513	111302	8216390	2572448
2015-07-06	73	104	186502	250860	111320	8506964	2621209
2015-07-20	78	121	186894	251228	111546	9096746	2649130
2015-08-05	92	128	187348	254582	111572	9360737	2717739
2015-08-17	98	138	187461	284517	111694	9669016	2975388
2015-09-07	109	153	190757	299301	111784	10158447	3070521
