Date	novalue	somevalue	quantity	time	globecoordinate	string	itemlink
2013-02-04	0	0	0	0	0	0	0
2013-02-15	30	3	0	0	0	1326	29387
2013-02-28	41	13	0	0	0	4136	619009
2013-03-16	43	50	0	0	0	7667	1405864
2013-03-30	68	63	0	0	0	19999	2166758
2013-04-17	76	978	0	0	0	486518	3825876
2013-05-05	126	1133	0	0	0	1332927	5863978
2013-05-14	139	1133	0	0	0	2049662	7294104
2013-05-27	314	687	0	0	0	2625485	8643553
2013-06-10	372	148	0	73628	0	2766109	9358200
2013-06-23	411	159	0	119450	178030	2921916	9671881
2013-07-10	1397	266	0	138420	245481	3123032	10598622
2013-07-27	1358	342	0	141008	303584	3646465	12679274
2013-08-05	1424	349	0	142993	565660	3888630	13498389
2013-08-17	1615	348	0	143604	574445	3962400	13679348
2013-08-27	1614	349	0	160567	627542	3989903	13996543
2013-09-10	1622	369	0	186257	695953	4137779	14587873
2013-09-22	1644	372	0	265770	749051	4239729	15282238
2013-10-06	1643	389	0	299818	865309	4299018	16033046
2013-10-21	1286	399	0	490135	910756	4487493	16851168
2013-11-05	858	465	0	596690	958840	4659082	17425420
2013-11-20	1030	560	0	621188	1027201	4822951	17800251
2013-12-05	1064	589	0	625748	1151949	4949237	17980347
2013-12-21	1081	608	0	628510	1152232	5892249	18551963
2014-01-06	1139	648	0	632072	1152557	6432298	18959171
2014-01-23	1168	692	0	668535	1153289	7284402	19342594
2014-02-10	1199	864	0	881403	1154271	7818660	20005714
2014-02-26	1245	999	19385	977330	1155013	8224836	20813923
2014-03-15	1297	1014	44738	1167899	1157289	8480980	21824083
2014-03-31	1419	1062	45523	1272730	1163640	8668334	22225878
2014-04-20	1449	1131	50115	1309422	1259759	8933911	22726874
2014-05-08	1606	1144	62841	1373521	1275344	9166076	23396426
2014-05-26	1630	1152	64896	1433793	1354835	9258344	24524911
2014-06-12	1674	1211	65387	1576493	1418691	9319597	26432743
2014-07-05	1660	1203	67788	1700855	1466082	9578451	27271607
2014-07-31	1682	1255	73571	2282962	1620477	9995488	29000096
2014-08-04	1686	1531	73631	2287271	1620511	10004959	29199563
2014-08-23	1731	1621	139589	2344232	1658544	10201824	30139958
2014-09-15	1771	3051	192202	2464455	1753344	10421678	31174077
2014-09-29	1838	3548	255338	2510447	1753929	10754807	32091220
2014-10-13	1860	3623	283691	2529300	1754498	10880771	32788697
2014-10-27	1901	3678	283897	2596935	1785588	11368732	33217272
2014-11-10	1924	3769	284157	2623919	1793978	11848645	33898933
2014-11-24	1968	3995	284488	2654894	1794249	12019134	34645903
2014-12-10	2053	5079	284864	2693938	1795563	12302759	35222820
2014-12-22	2055	5240	285305	2715965	1862184	12559529	35586508
2015-01-05	2063	5519	285578	2739549	1862590	12734931	36028293
2015-01-20	2826	5783	286167	2776116	1893243	12812371	36623301
2015-02-02	2887	5887	297504	2829816	1898904	12894971	36979336
2015-02-16	2836	6187	307977	2916589	1996996	13438594	37710999
2015-03-02	2869	6335	311268	2965533	2045975	13748334	38244865
2015-03-16	2916	6441	313992	3035802	2116760	14152301	38883583
2015-03-30	2943	6558	314509	3062933	2139617	14444001	39467703
2015-04-13	2989	6674	315003	3088611	2140274	14521123	40473880
2015-04-27	3066	6861	316834	3116349	2162687	14874877	40913111
2015-05-11	3107	6987	317516	3129910	2164267	14987937	41186404
2015-05-25	3155	7108	318149	3149510	2165195	16172245	41393076
2015-06-08	3193	7247	328540	3174932	2167107	16779866	41775740
2015-06-22	3239	7481	335858	3207349	2168062	16975575	42223170
2015-07-06	3328	7941	350972	3257612	2192790	17420393	42715743
2015-07-20	3466	8266	352183	3302425	2225317	18091701	42933592
2015-08-05	3606	8664	353536	3337624	2227490	18484453	43265092
2015-08-17	3767	8931	356302	3371761	2228051	18891107	43698658
2015-09-07	3969	9194	363293	3439576	2367974	19681279	44459467
