Date	Total Items	Items with referenced statements	Total statements	Statements referenced to Wikipedia	Statements referenced to other sources
2013-02-04	3887755	0 	0	0 	0 
2013-02-15	4423079	20 	30746	1 	32 
2013-02-28	5825626	133,740 	623199	266,711 	46 
2013-03-16	7040595	256,473 	1413624	498,341 	63 
2013-03-30	8534183	543,268 	2186888	910,531 	129 
2013-04-17	10621495	1,292,844 	4313448	2,430,944 	134,940 
2013-05-05	12022530	2,095,436 	7198164	4,166,891 	248,072 
2013-05-14	12402098	2,666,462 	9345038	5,847,253 	371,799 
2013-05-27	12565377	3,041,132 	11270039	7,515,447 	531,292 
2013-06-10	12562722	3,310,404 	12198457	8,115,163 	754,012 
2013-06-23	12639014	3,404,972 	12891847	8,457,288 	1,042,617 
2013-07-10	12783651	3,718,996 	14107218	9,358,880 	1,202,250 
2013-07-27	13355707	3,997,196 	16772031	10,757,277 	1,250,229 
2013-08-05	13566707	4,109,773 	18097445	11,341,056 	1,342,876 
2013-08-17	13608804	4,118,443 	18361760	11,362,162 	1,369,620 
2013-08-27	13685369	4,182,108 	18776598	11,642,357 	1,390,763 
2013-09-10	13833267	4,252,261 	19611955	11,931,929 	1,459,596 
2013-09-22	13889820	4,386,420 	20540880	12,504,831 	1,542,214 
2013-10-06	13989956	4,544,929 	21501293	13,101,907 	1,617,120 
2013-10-21	14010471	5,046,555 	22743278	14,174,443 	1,649,627 
2013-11-05	14042236	5,294,567 	23643387	14,357,474 	1,850,602 
2013-11-20	14082962	5,619,251 	24273181	14,571,886 	1,880,707 
2013-12-05	14132136	5,900,483 	24708934	14,524,937 	1,936,568 
2013-12-21	14240430	6,122,577 	26226643	14,716,505 	2,532,346 
2014-01-06	14404065	6,377,344 	27177885	15,131,992 	2,702,030 
2014-01-23	14371860	6,552,436 	28450680	15,340,365 	3,224,338 
2014-02-10	14440962	6,769,918 	29863202	16,066,273 	3,414,790 
2014-02-26	14519234	7,016,074 	31192731	16,469,676 	3,871,177 
2014-03-15	14616935	7,192,145 	32677300	17,232,842 	4,067,536 
2014-03-31	14648218	7,282,613 	33378586	17,564,275 	4,270,933 
2014-04-20	15093996	7,393,496 	34282661	17,857,011 	4,612,258 
2014-05-08	15331176	7,556,928 	35276958	17,636,471 	4,942,902 
2014-05-26	15429932	7,517,474 	36639561	17,371,817 	5,031,579 
2014-06-12	15590480	7,552,967 	38815796	17,443,896 	5,031,854 
2014-07-05	15685743	7,591,207 	40087646	17,485,825 	5,112,298 
2014-07-31	15789885	7,840,701 	42975531	18,018,735 	5,228,374 
2014-08-04	15792256	7,841,226 	43189152	18,014,938 	5,228,637 
2014-08-23	15856289	7,864,281 	44487645	18,082,373 	5,389,203 
2014-09-15	16199115	7,954,774 	46010798	18,221,999 	5,682,504 
2014-09-29	16266835	7,978,907 	47371813	18,302,487 	6,004,751 
2014-10-13	16320152	8,030,636 	48243540	18,430,951 	6,099,023 
2014-10-27	16421663	8,139,082 	49259487	18,492,032 	6,592,815 
2014-11-10	16572031	8,188,516 	50457200	18,614,138 	7,466,240 
2014-11-24	16606415	8,222,906 	51406935	18,718,913 	7,567,577 
2014-12-10	16628776	8,338,307 	52309846	18,692,336 	7,733,296 
2014-12-22	16668610	8,423,002 	53020002	18,779,985 	8,010,042 
2015-01-05	16675727	8,436,319 	53662317	18,775,607 	8,207,035 
2015-01-20	16770028	8,579,898 	54404160	18,962,840 	8,283,791 
2015-02-02	16864651	8,452,476 	54920968	18,566,071 	8,285,903 
2015-02-16	17198893	8,607,467 	56392395	18,676,174 	8,578,385 
2015-03-02	17271174	8,664,297 	57338578	18,738,839 	8,757,613 
2015-03-16	17474239	8,790,148 	58526745	18,836,963 	9,070,547 
2015-03-30	17553149	8,909,211 	59453989	19,179,949 	9,148,464 
2015-04-13	17622509	9,021,646 	60570873	19,487,214 	9,210,972 
2015-04-27	17632496	9,058,475 	61427934	19,561,530 	9,230,665 
2015-05-11	17679971	9,082,615 	61831277	19,665,228 	9,522,410 
2015-05-25	17679766	9,605,502 	63245085	19,726,863 	10,657,741 
2015-06-08	17752335	9,882,420 	64275222	19,796,972 	11,213,027 
2015-06-22	17880164	9,916,537 	64964157	19,882,108 	11,333,403 
2015-07-06	18308081	10,017,235 	65993797	20,135,242 	11,677,032 
2015-07-20	18336598	10,063,621 	66964741	20,222,651 	12,295,743 
2015-08-05	18378250	10,122,499 	67730906	20,272,724 	12,632,198 
2015-08-17	18434725	10,199,595 	68612395	20,387,858 	13,228,312 
2015-09-07	18514196	10,436,117 	70380747	20,976,936 	13,831,072 
