Date	novalue	somevalue	quantity	time	globecoordinate	string	itemlink
2013-02-04	0	0	0	0	0	0	0
2013-02-15	0	0	0	0	0	1	0
2013-02-28	0	0	0	0	0	5	266706
2013-03-16	0	1	0	0	0	45	498295
2013-03-30	1	0	0	0	0	350	910180
2013-04-17	1	0	0	0	0	224280	2206663
2013-05-05	1	2	0	0	0	762478	3404410
2013-05-14	15	5	0	0	0	1352800	4494433
2013-05-27	19	7	0	0	0	1837146	5678275
2013-06-10	23	9	0	43489	0	1878821	6192821
2013-06-23	23	9	0	76024	161906	1900204	6319122
2013-07-10	831	9	0	76075	228913	1999194	7053858
2013-07-27	789	11	0	76261	270095	2264958	8145163
2013-08-05	813	11	0	76609	525438	2301402	8436783
2013-08-17	813	11	0	76719	532464	2309637	8442518
2013-08-27	806	11	0	79699	584056	2324773	8653012
2013-09-10	805	11	0	102570	650367	2329636	8848540
2013-09-22	804	11	0	179938	702809	2357835	9263434
2013-10-06	788	12	0	210886	818518	2359167	9712536
2013-10-21	459	13	0	399060	862177	2513846	10398888
2013-11-05	64	13	0	504745	905628	2572008	10375016
2013-11-20	67	15	0	523038	973763	2610998	10464005
2013-12-05	73	15	0	523697	1096758	2601515	10302879
2013-12-21	74	16	0	523788	1096806	2625775	10470046
2014-01-06	93	16	0	523897	1096754	2775790	10735442
2014-01-23	111	27	0	523850	1096855	2877770	10841752
2014-02-10	116	50	0	730317	1097276	2977220	11261294
2014-02-26	125	70	550	820433	1097549	2975946	11575003
2014-03-15	160	67	8684	1007614	1099347	2971631	12145339
2014-03-31	260	108	8934	1099600	1100792	3017614	12336967
2014-04-20	270	127	11405	1111157	1182921	3073378	12477753
2014-05-08	281	128	22785	1088430	1197802	3172815	12154230
2014-05-26	280	129	24318	1106089	1276666	3210209	11754126
2014-06-12	283	132	24593	1176596	1340146	3225509	11676637
2014-07-05	283	132	26166	1208359	1378220	3261655	11611010
2014-07-31	282	140	25264	1486159	1492073	3306736	11708081
2014-08-04	282	416	25265	1487875	1492050	3307648	11701402
2014-08-23	286	448	25666	1507755	1493934	3398192	11656092
2014-09-15	284	1761	38286	1575913	1522498	3428436	11654821
2014-09-29	287	2164	85270	1607896	1522507	3430803	11653560
2014-10-13	287	2184	113109	1608712	1522694	3448581	11735384
2014-10-27	286	2214	113134	1643017	1553442	3458241	11721698
2014-11-10	290	2252	113163	1646364	1561362	3452987	11837720
2014-11-24	304	2405	113279	1653518	1561170	3459301	11928936
2014-12-10	305	3426	113375	1655317	1561858	3526478	11831577
2014-12-22	310	3557	113525	1657368	1627873	3527083	11850269
2015-01-05	309	3729	113581	1657842	1627676	3539039	11833431
2015-01-20	997	3765	113718	1673090	1656842	3563052	11951376
2015-02-02	999	3779	113816	1688505	1650560	3318680	11789732
2015-02-16	997	3787	113974	1698997	1650434	3343750	11864235
2015-03-02	1003	3803	114068	1699565	1653138	3359360	11907902
2015-03-16	1024	3805	114462	1709341	1666503	3388600	11953228
2015-03-30	1028	3804	114473	1718661	1666442	3505491	12170050
2015-04-13	1039	3815	114606	1721054	1666255	3524952	12455493
2015-04-27	1039	3825	114665	1728410	1666388	3572215	12474988
2015-05-11	1041	3835	114862	1730425	1667237	3600135	12547693
2015-05-25	1040	3831	114940	1734143	1667165	3625735	12580009
2015-06-08	1047	3832	115188	1735377	1668464	3649913	12623151
2015-06-22	1052	3842	118143	1748848	1667131	3674909	12668183
2015-07-06	1053	3848	126216	1769288	1679127	3737427	12818283
2015-07-20	1055	3852	126420	1789183	1710489	3764337	12827315
2015-08-05	1059	3879	126605	1794613	1711842	3789948	12844778
2015-08-17	1060	3904	126698	1799126	1711694	3825050	12920326
2015-09-07	1059	3908	128674	1825882	1849386	4043901	13124126
2015-10-05	1071	3926	227715	1827503	1818338	4103664	13314247
2015-10-19	1073	3928	229190	1838275	1809172	4172880	13295715
